Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
TomH	16:15 6/3/2016	133
Mike	16:19 6/3/2016	138
Jim	16:31 6/3/2016	114
Tom	16:31 6/3/2016	166
Jim	16:31 6/3/2016	172
Tom	16:31 6/3/2016	147
Mike	16:32 6/3/2016	114
Mike	16:35 6/3/2016	133
Mike	16:37 6/3/2016	113
Tom	16:37 6/3/2016	95
Mike	16:38 6/3/2016	108
Tom	16:38 6/3/2016	201
Mike	17:14 6/6/2016	116
Mike	17:14 6/6/2016	152
Tom	17:53 6/6/2016	167
Jim	18:4 6/6/2016	127
Jim	11:51 6/0/2016	91
Tom	11:52 6/0/2016	2308
Jim	11:54 6/0/2016	141
Lana	12:0 6/0/2016	208
Tom	12:5 6/0/2016	107
Tom	12:6 6/0/2016	117
Lana	12:18 6/0/2016	88
Jim	12:24 6/0/2016	129
Jim	12:25 6/0/2016	121
Lana	12:53 6/0/2016	155
Jim	12:56 6/0/2016	94
Lana	12:56 6/0/2016	106
Mike	12:56 6/0/2016	145
Mike	13:3 6/0/2016	114
Jim	13:3 6/0/2016	133
Tom	13:3 6/0/2016	112
Mike	13:3 6/0/2016	96
Jim	13:4 6/0/2016	131
Tom	13:4 6/0/2016	119
Mike	13:10 6/0/2016	21
Jim	13:10 6/0/2016	25
Tom	13:10 6/0/2016	42
Mike	13:13 6/0/2016	132
TomH	13:13 6/0/2016	78
Mike	13:14 6/0/2016	97
Jim	13:14 6/0/2016	107
Tom	13:14 6/0/2016	122
Mike	13:16 6/0/2016	119
Jim	13:17 6/0/2016	118
Lana	13:17 6/0/2016	123
Mike	13:19 6/0/2016	122
Jim	13:19 6/0/2016	103
TomH	13:20 6/0/2016	127
Jim	13:20 6/0/2016	176
Jim	13:22 6/0/2016	169
Tom	13:22 6/0/2016	136
TomH	13:22 6/0/2016	122
Mike	13:22 6/0/2016	110
Tom	13:22 6/0/2016	130
Jim	13:23 6/0/2016	129
TomH	13:23 6/0/2016	148
Mike	13:24 6/0/2016	104
Jim	13:24 6/0/2016	109
Tom	13:24 6/0/2016	146
Mike	13:29 6/0/2016	180
Jim	13:29 6/0/2016	121
TomH	13:29 6/0/2016	135
Lana	13:30 6/0/2016	136
Mike	13:33 6/0/2016	124
Tom	13:34 6/0/2016	147
TomH	13:34 6/0/2016	126
Mike	13:38 6/0/2016	155
Jim	13:38 6/0/2016	154
Tom	13:38 6/0/2016	148
Mike	13:41 6/0/2016	126
Jim	13:41 6/0/2016	118
Tom	13:41 6/0/2016	121
Mike	13:44 6/0/2016	149
Jim	13:44 6/0/2016	124
TomH	13:45 6/0/2016	110
Mike	13:47 6/0/2016	176
Jim	13:47 6/0/2016	133
Tom	13:47 6/0/2016	133
Mike	13:53 6/0/2016	135
Jim	13:53 6/0/2016	154
Tom	13:53 6/0/2016	154
Mike	13:55 6/0/2016	131
Jim	13:55 6/0/2016	161
Tom	13:55 6/0/2016	136
Jim	14:2 6/0/2016	170
Mike	14:2 6/0/2016	137
Mike	14:3 6/0/2016	137
Jim	14:3 6/0/2016	154
Lana	14:3 6/0/2016	153
Mike	14:46 6/0/2016	109
TomH	14:46 6/0/2016	123
Jim	14:47 6/0/2016	107
Tom	14:47 6/0/2016	137
Lana	14:47 6/0/2016	118
TomH	14:47 6/0/2016	78
Mike	14:54 6/0/2016	101
Jim	14:54 6/0/2016	140
Tom	14:54 6/0/2016	106
Lana	14:54 6/0/2016	141
Lana	14:54 6/0/2016	136
TomH	14:54 6/0/2016	157
Mike	15:0 6/0/2016	138
Jim	15:0 6/0/2016	127
Tom	15:0 6/0/2016	107
Jim	15:1 6/0/2016	129
TomH	15:5 6/0/2016	145
TomH	15:8 6/0/2016	146
Lana	15:9 6/0/2016	101
Mike	15:12 6/0/2016	174
Mike	15:13 6/0/2016	108
Lana	15:14 6/0/2016	127
Tom	15:14 6/0/2016	122
Jim	15:14 6/0/2016	116
Mike	15:14 6/0/2016	132
TomH	15:14 6/0/2016	135
Lana	15:14 6/0/2016	87
Tom	15:14 6/0/2016	143
Jim	15:14 6/0/2016	153
Mike	15:14 6/0/2016	124
Lana	15:15 6/0/2016	128
Tom	15:15 6/0/2016	94
Jim	15:15 6/0/2016	133
Mike	15:15 6/0/2016	120
TomH	15:16 6/0/2016	111
Lana	15:16 6/0/2016	176
Tom	15:16 6/0/2016	111
Jim	15:16 6/0/2016	112
Mike	15:16 6/0/2016	123
Lana	15:23 6/0/2016	143
Tom	15:23 6/0/2016	138
Jim	15:23 6/0/2016	120
Mike	15:23 6/0/2016	217
TomH	15:23 6/0/2016	156
Lana	15:23 6/0/2016	115
Tom	15:23 6/0/2016	119
